number of images:  37
1/f alpha -2.00833517987
1.42195125e-07
 
Photoreceptor Activity (proportion of diffraction)
 
index	obj_dist_mm	focus_D	off_axis_deg	wavelen_nm	pupil_mm	proportion
175	46.416	4.0	10.0	540.0	3.0	0.064
176	46.416	4.0	10.0	560.0	3.0	0.065
177	46.416	4.0	10.0	580.0	3.0	0.064
178	46.416	4.0	10.0	600.0	3.0	0.064
179	46.416	4.0	10.0	620.0	3.0	0.064
180	46.416	4.0	10.0	640.0	3.0	0.064
181	46.416	4.0	10.0	660.0	3.0	0.063
182	46.416	4.0	10.0	680.0	3.0	0.064
183	46.416	4.0	10.0	700.0	3.0	0.064
184	46.416	4.0	10.0	720.0	3.0	0.065
185	46.416	4.0	10.0	740.0	3.0	0.061
186	46.416	4.0	10.0	760.0	3.0	0.061
187	46.416	4.0	10.0	780.0	3.0	0.062
188	46.416	4.0	10.0	800.0	3.0	0.061
189	46.416	4.5	10.0	400.0	3.0	0.059
190	46.416	4.5	10.0	420.0	3.0	0.059
191	46.416	4.5	10.0	440.0	3.0	0.059
192	46.416	4.5	10.0	460.0	3.0	0.062
193	46.416	4.5	10.0	480.0	3.0	0.061
194	46.416	4.5	10.0	500.0	3.0	0.064
195	46.416	4.5	10.0	520.0	3.0	0.062
196	46.416	4.5	10.0	540.0	3.0	0.062
197	46.416	4.5	10.0	560.0	3.0	0.062
198	46.416	4.5	10.0	580.0	3.0	0.062
199	46.416	4.5	10.0	600.0	3.0	0.062
200	46.416	4.5	10.0	620.0	3.0	0.064
201	46.416	4.5	10.0	640.0	3.0	0.061
202	46.416	4.5	10.0	660.0	3.0	0.062
203	46.416	4.5	10.0	680.0	3.0	0.061
204	46.416	4.5	10.0	700.0	3.0	0.062
205	46.416	4.5	10.0	720.0	3.0	0.062
206	46.416	4.5	10.0	740.0	3.0	0.062
207	46.416	4.5	10.0	760.0	3.0	0.062
208	46.416	4.5	10.0	780.0	3.0	0.062
209	46.416	4.5	10.0	800.0	3.0	0.062
210	46.416	5.0	10.0	400.0	3.0	0.058
211	46.416	5.0	10.0	420.0	3.0	0.059
212	46.416	5.0	10.0	440.0	3.0	0.059
213	46.416	5.0	10.0	460.0	3.0	0.061
214	46.416	5.0	10.0	480.0	3.0	0.061
215	46.416	5.0	10.0	500.0	3.0	0.061
216	46.416	5.0	10.0	520.0	3.0	0.062
217	46.416	5.0	10.0	540.0	3.0	0.061
218	46.416	5.0	10.0	560.0	3.0	0.062
219	46.416	5.0	10.0	580.0	3.0	0.059
220	46.416	5.0	10.0	600.0	3.0	0.057
221	46.416	5.0	10.0	620.0	3.0	0.059
222	46.416	5.0	10.0	640.0	3.0	0.059
223	46.416	5.0	10.0	660.0	3.0	0.058
224	46.416	5.0	10.0	680.0	3.0	0.058
225	46.416	5.0	10.0	700.0	3.0	0.061
226	46.416	5.0	10.0	720.0	3.0	0.062
227	46.416	5.0	10.0	740.0	3.0	0.062
228	46.416	5.0	10.0	760.0	3.0	0.062
229	46.416	5.0	10.0	780.0	3.0	0.059
230	46.416	5.0	10.0	800.0	3.0	0.059
231	46.416	5.5	10.0	400.0	3.0	0.059
232	46.416	5.5	10.0	420.0	3.0	0.059
233	46.416	5.5	10.0	440.0	3.0	0.059
234	46.416	5.5	10.0	460.0	3.0	0.059
235	46.416	5.5	10.0	480.0	3.0	0.059
236	46.416	5.5	10.0	500.0	3.0	0.062
237	46.416	5.5	10.0	520.0	3.0	0.062
238	46.416	5.5	10.0	540.0	3.0	0.059
239	46.416	5.5	10.0	560.0	3.0	0.059
240	46.416	5.5	10.0	580.0	3.0	0.057
241	46.416	5.5	10.0	600.0	3.0	0.057
242	46.416	5.5	10.0	620.0	3.0	0.056
243	46.416	5.5	10.0	640.0	3.0	0.06
244	46.416	5.5	10.0	660.0	3.0	0.06
245	46.416	5.5	10.0	680.0	3.0	0.059
246	46.416	5.5	10.0	700.0	3.0	0.059
247	46.416	5.5	10.0	720.0	3.0	0.059
248	46.416	5.5	10.0	740.0	3.0	0.059
